,pitch_type,event
357085,SL,Groundout
357101,SL,Home Run
357114,FT,Single
357123,FF,Pop Out
357726,SL,Hit By Pitch
357739,SL,Lineout
358424,KC,Groundout
358437,FF,Single
358458,FT,Groundout
359256,FT,Flyout
360034,SL,Flyout
360050,FF,Groundout
360062,SL,Pop Out
361404,CU,Single
362152,SL,Single
362164,FF,Double
362177,FF,Groundout
362928,FF,Single
362940,FF,Groundout
362966,FT,Forceout
363776,FS,Flyout
363790,FF,Groundout
363798,SL,Flyout
363819,FF,Pop Out
364570,CU,Flyout
364589,FT,Pop Out
365403,SL,Double
367049,FF,Single
367095,FF,Flyout
367753,FF,Flyout
367762,SL,Pop Out
368398,FC,Double
368423,SI,Groundout
368436,FF,Flyout
369197,FF,Groundout
369221,FF,Flyout
370122,FT,Forceout
370131,FF,Home Run
370138,SL,Flyout
371233,FF,Single
372001,FF,Groundout
372026,FT,Single
372039,FF,Lineout
373475,FF,Home Run
373510,FF,Lineout
374090,FT,Flyout
374113,FF,Double
374982,SL,Groundout
374994,CH,Forceout
375783,CU,Sac Fly
375795,FF,Home Run
375810,FF,Home Run
376374,SL,Flyout
378133,FC,Single
378144,FF,Field Error
378156,FF,Home Run
378169,FF,Home Run
379593,SL,Grounded Into DP
380364,FS,Groundout
380375,FF,Flyout
380386,FF,Double
381234,FF,Home Run
381256,SL,Flyout
381269,SL,Pop Out
381851,CU,Single
381857,CU,Flyout
381867,FF,Sac Fly
381882,CU,Single
381893,SL,Fielders Choice Out
382678,SL,Forceout
382692,FF,Home Run
382711,SL,Sac Fly
383953,FF,Home Run
383981,FF,Double
384775,FT,Double
384795,CU,Groundout
385534,SL,Groundout
385566,FT,Home Run
385576,SI,Home Run
386153,FF,Flyout
386163,FF,Home Run
386192,CH,Home Run
387193,FF,Double
387207,SL,Groundout
387952,CH,Groundout
387975,CU,Double
388565,FF,Home Run
388574,SL,Flyout
388615,SL,Flyout
389327,FT,Groundout
389338,FC,Single
390099,FT,Home Run
391373,SL,Double
391395,SL,Single
391904,FT,Grounded Into DP
391920,FF,Lineout
391928,FT,Grounded Into DP
392672,FF,Grounded Into DP
392687,FF,Pop Out
392702,FF,Pop Out
393308,FC,Single
394792,SL,Single
394810,SL,Single
395378,CH,Pop Out
395395,CH,Home Run
395555,SL,Flyout
395566,SL,Flyout
395576,SL,Home Run
395593,FF,Lineout
396149,FF,Hit By Pitch
396166,FF,Single
396669,FF,Flyout
396683,KC,Flyout
396694,SL,Groundout
396707,SL,Double
397438,CU,Single
397484,SL,Single
397507,CH,Grounded Into DP
399006,SL,Single
399022,FF,Single
399031,FF,Home Run
399050,FT,Grounded Into DP
399827,CU,Single
399840,FF,Single
400465,CH,Groundout
400487,FT,Groundout
400502,SL,Double
401010,FF,Groundout
401022,FT,Single
402767,FF,Home Run
402779,FT,Flyout
402786,FT,Single
402794,FC,Groundout
403504,CH,Lineout
404983,FT,Forceout
404996,FS,Home Run
405748,FF,Single
405778,CH,Flyout
406514,FT,Groundout
406525,FT,Home Run
406545,FT,Single
406551,SI,Groundout
407230,FF,Groundout
407255,FF,Flyout
407525,FF,Flyout
407536,SI,Double
408169,FF,Double
408181,FT,Single
408192,FF,Home Run
408951,FF,Single
408973,FF,Sac Fly
410348,FF,Flyout
411219,FF,Single
411227,SL,Double
411235,FF,Single
412038,FF,Lineout
413363,SL,Flyout
413386,FF,Single
414123,FT,Groundout
414135,FT,Double Play
414148,FT,Double
414161,SL,Groundout
414896,FT,Flyout
414909,CH,Groundout
414920,FT,Groundout
414931,FT,Groundout
414947,FT,Forceout
415383,FC,Double
415393,FC,Flyout
415403,CU,Home Run
415415,FC,Grounded Into DP
416205,SL,Groundout
416981,FF,Double
418034,FF,Flyout
418065,SL,Single
418819,FT,Single
418849,CU,Single
418859,CU,Flyout
418872,FF,Home Run
419475,FF,Single
419484,KC,Flyout
420410,SI,Home Run
420439,SI,Grounded Into DP
421123,CU,Home Run
421140,FF,Flyout
421974,SI,Double
421981,CH,Groundout
422018,FF,Single
425147,SI,Groundout
425160,SL,Groundout
